event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"F",1559750112.937668,"F",0.0,"F",0.0,"F",0.0,1,none,3
key pressed,"SPACE",1559750115.0882509,"Franz",2.150582790374756,"Franz ",2.150582790374756,"Franz ",2.150582790374756,1,none,3
word typed,"SPACE",1559750115.0882509,"Franz",2.150582790374756,"Franz ",2.150582790374756,"Franz ",2.150582790374756,1,True,3
key pressed,"j",1559750115.336115,"j",0.0,"Franz j",2.398446798324585,"Franz j",2.398446798324585,1,none,3
key pressed,"a",1559750115.719902,"ja",0.3837871551513672,"Franz ja",2.782233953475952,"Franz ja",2.782233953475952,1,none,3
key pressed,"SPACE",1559750116.736115,"jagt",1.4000000953674316,"Franz jagt ",3.7984468936920166,"Franz jagt ",3.7984468936920166,1,none,3
word typed,"SPACE",1559750116.736115,"jagt",1.4000000953674316,"Franz jagt ",3.7984468936920166,"Franz jagt ",3.7984468936920166,1,True,3
key pressed,"i",1559750116.943542,"i",0.0,"Franz jagt i",4.005873918533325,"Franz jagt i",4.005873918533325,1,none,3
key pressed,"m",1559750117.280224,"im",0.3366820812225342,"Franz jagt im",4.342555999755859,"Franz jagt im",4.342555999755859,1,none,3
key pressed,"SPACE",1559750117.463989,"im",0.5204470157623291,"Franz jagt im ",4.526320934295654,"Franz jagt im ",4.526320934295654,1,none,3
word typed,"SPACE",1559750117.463989,"im",0.5204470157623291,"Franz jagt im ",4.526320934295654,"Franz jagt im ",4.526320934295654,1,False,3
key pressed,"k",1559750118.248373,"k",0.0,"Franz jagt im k",5.310704946517944,"Franz jagt im k",5.310704946517944,1,none,3
key pressed,"o",1559750118.432191,"ko",0.18381786346435547,"Franz jagt im ko",5.4945228099823,"Franz jagt im ko",5.4945228099823,1,none,3
key pressed,"m",1559750118.6401799,"kom",0.39180684089660645,"Franz jagt im kom",5.702511787414551,"Franz jagt im kom",5.702511787414551,1,none,3
key pressed,"SPACE",1559750119.520455,"komplett",1.2720818519592285,"Franz jagt im komplett ",6.582786798477173,"Franz jagt im komplett ",6.582786798477173,1,none,3
word typed,"SPACE",1559750119.520455,"komplett",1.2720818519592285,"Franz jagt im komplett ",6.582786798477173,"Franz jagt im komplett ",6.582786798477173,1,True,3
key pressed,"v",1559750120.192109,"v",0.0,"Franz jagt im komplett v",7.254441022872925,"Franz jagt im komplett v",7.254441022872925,1,none,3
key pressed,"e",1559750120.312244,"ve",0.12013483047485352,"Franz jagt im komplett ve",7.374575853347778,"Franz jagt im komplett ve",7.374575853347778,1,none,3
key pressed,"r",1559750120.424036,"ver",0.23192691802978516,"Franz jagt im komplett ver",7.48636794090271,"Franz jagt im komplett ver",7.48636794090271,1,none,3
key pressed,"SPACE",1559750122.016581,"verwahrlosten",1.8244719505310059,"Franz jagt im komplett verwahrlosten ",9.07891297340393,"Franz jagt im komplett verwahrlosten ",9.07891297340393,1,none,3
word typed,"SPACE",1559750122.016581,"verwahrlosten",1.8244719505310059,"Franz jagt im komplett verwahrlosten ",9.07891297340393,"Franz jagt im komplett verwahrlosten ",9.07891297340393,1,True,3
key pressed,"T",1559750122.8643048,"T",0.0,"Franz jagt im komplett verwahrlosten T",9.926636695861816,"Franz jagt im komplett verwahrlosten T",9.926636695861816,1,none,3
key pressed,"a",1559750123.056222,"Ta",0.19191718101501465,"Franz jagt im komplett verwahrlosten Ta",10.118553876876831,"Franz jagt im komplett verwahrlosten Ta",10.118553876876831,1,none,3
key pressed,"SPACE",1559750124.232447,"Taxi",1.3681421279907227,"Franz jagt im komplett verwahrlosten Taxi ",11.294778823852539,"Franz jagt im komplett verwahrlosten Taxi ",11.294778823852539,1,none,3
word typed,"SPACE",1559750124.232447,"Taxi",1.3681421279907227,"Franz jagt im komplett verwahrlosten Taxi ",11.294778823852539,"Franz jagt im komplett verwahrlosten Taxi ",11.294778823852539,1,True,3
key pressed,"q",1559750124.5288699,"q",0.0,"Franz jagt im komplett verwahrlosten Taxi q",11.591201782226562,"Franz jagt im komplett verwahrlosten Taxi q",11.591201782226562,1,none,3
key pressed,"SPACE",1559750125.9687328,"quer",1.4398629665374756,"Franz jagt im komplett verwahrlosten Taxi quer ",13.031064748764038,"Franz jagt im komplett verwahrlosten Taxi quer ",13.031064748764038,1,none,3
word typed,"SPACE",1559750125.9687328,"quer",1.4398629665374756,"Franz jagt im komplett verwahrlosten Taxi quer ",13.031064748764038,"Franz jagt im komplett verwahrlosten Taxi quer ",13.031064748764038,1,True,3
key pressed,"d",1559750126.216264,"d",0.0,"Franz jagt im komplett verwahrlosten Taxi quer d",13.278595924377441,"Franz jagt im komplett verwahrlosten Taxi quer d",13.278595924377441,1,none,3
key pressed,"SPACE",1559750127.3927,"durch",1.176435947418213,"Franz jagt im komplett verwahrlosten Taxi quer durch ",14.455031871795654,"Franz jagt im komplett verwahrlosten Taxi quer durch ",14.455031871795654,1,none,3
word typed,"SPACE",1559750127.3927,"durch",1.176435947418213,"Franz jagt im komplett verwahrlosten Taxi quer durch ",14.455031871795654,"Franz jagt im komplett verwahrlosten Taxi quer durch ",14.455031871795654,1,True,3
key pressed,"B",1559750127.888546,"B",0.0,"Franz jagt im komplett verwahrlosten Taxi quer durch B",14.950877904891968,"Franz jagt im komplett verwahrlosten Taxi quer durch B",14.950877904891968,1,none,3
word typed,"ENTER",1559750131.432585,"Bayern.",3.544039011001587,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",18.494916915893555,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",18.494916915893555,1,True,3
sentence typed,"ENTER",1559750131.432585,"Bayern.",3.544039011001587,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",18.494916915893555,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",18.494916915893555,1,none,3
key pressed,"S",1559750132.560413,"S",0.0,"S",0.0,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.S",19.62274479866028,2,none,3
key pressed,"y",1559750133.2804968,"Sy",0.7200839519500732,"Sy",0.7200839519500732,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sy",20.34282875061035,2,none,3
key pressed,"l",1559750133.416567,"Syl",0.856154203414917,"Syl",0.856154203414917,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Syl",20.478899002075195,2,none,3
key pressed,"SPACE",1559750134.248692,"Sylvia",1.688279151916504,"Sylvia ",1.688279151916504,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia ",21.311023950576782,2,none,3
word typed,"SPACE",1559750134.248692,"Sylvia",1.688279151916504,"Sylvia ",1.688279151916504,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia ",21.311023950576782,2,True,3
key pressed,"w",1559750134.536638,"w",0.0,"Sylvia w",1.9762251377105713,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia w",21.59896993637085,2,none,3
key pressed,"a",1559750134.688503,"wa",0.15186500549316406,"Sylvia wa",2.1280901432037354,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wa",21.750834941864014,2,none,3
key pressed,"g",1559750134.912523,"wag",0.375885009765625,"Sylvia wag",2.3521101474761963,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wag",21.974854946136475,2,none,3
key pressed,"t",1559750135.1525261,"wagt",0.6158881187438965,"Sylvia wagt",2.5921132564544678,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt",22.214858055114746,2,none,3
key pressed,"SPACE",1559750135.272649,"wagt",0.7360110282897949,"Sylvia wagt ",2.712236166000366,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt ",22.334980964660645,2,none,3
word typed,"SPACE",1559750135.272649,"wagt",0.7360110282897949,"Sylvia wagt ",2.712236166000366,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt ",22.334980964660645,2,False,3
key pressed,"q",1559750135.640605,"q",0.0,"Sylvia wagt q",3.0801920890808105,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt q",22.70293688774109,2,none,3
key pressed,"u",1559750135.832722,"qu",0.19211697578430176,"Sylvia wagt qu",3.2723090648651123,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt qu",22.89505386352539,2,none,3
key pressed,"i",1559750136.0325089,"qui",0.3919038772583008,"Sylvia wagt qui",3.4720959663391113,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt qui",23.09484076499939,2,none,3
key pressed,"c",1559750136.1526248,"quic",0.5120198726654053,"Sylvia wagt quic",3.592211961746216,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quic",23.214956760406494,2,none,3
key pressed,"k",1559750136.288795,"quick",0.6481900215148926,"Sylvia wagt quick",3.728382110595703,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick",23.35112690925598,2,none,3
key pressed,"SPACE",1559750136.488596,"quick",0.8479909896850586,"Sylvia wagt quick ",3.928183078765869,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick ",23.550927877426147,2,none,3
word typed,"SPACE",1559750136.488596,"quick",0.8479909896850586,"Sylvia wagt quick ",3.928183078765869,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick ",23.550927877426147,2,False,3
key pressed,"d",1559750136.664879,"d",0.0,"Sylvia wagt quick d",4.104466199874878,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick d",23.727210998535156,2,none,3
key pressed,"n",1559750136.840846,"dn",0.17596697807312012,"Sylvia wagt quick dn",4.280433177947998,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick dn",23.903177976608276,2,none,3
key pressed,"d",1559750137.512841,"d",0.0,"Sylvia wagt quick d",4.952428102493286,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick d",24.575172901153564,2,none,3
key pressed,"e",1559750137.672519,"de",0.15967798233032227,"Sylvia wagt quick de",5.112106084823608,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick de",24.734850883483887,2,none,3
key pressed,"n",1559750137.808724,"den",0.2958829402923584,"Sylvia wagt quick den",5.2483110427856445,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den",24.871055841445923,2,none,3
key pressed,"SPACE",1559750137.9846132,"den",0.4717721939086914,"Sylvia wagt quick den ",5.4242002964019775,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den ",25.046945095062256,2,none,3
word typed,"SPACE",1559750137.9846132,"den",0.4717721939086914,"Sylvia wagt quick den ",5.4242002964019775,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den ",25.046945095062256,2,False,3
key pressed,"J",1559750138.20885,"J",0.0,"Sylvia wagt quick den J",5.648437023162842,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den J",25.27118182182312,2,none,3
key pressed,"u",1559750138.408763,"Ju",0.19991302490234375,"Sylvia wagt quick den Ju",5.8483500480651855,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Ju",25.471094846725464,2,none,3
key pressed,"x",1559750138.5286431,"Jux",0.3197932243347168,"Sylvia wagt quick den Jux",5.968230247497559,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux",25.590975046157837,2,none,3
key pressed,"SPACE",1559750138.7206771,"Jux",0.5118272304534912,"Sylvia wagt quick den Jux ",6.160264253616333,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux ",25.78300905227661,2,none,3
word typed,"SPACE",1559750138.7206771,"Jux",0.5118272304534912,"Sylvia wagt quick den Jux ",6.160264253616333,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux ",25.78300905227661,2,False,3
key pressed,"b",1559750139.736893,"b",0.0,"Sylvia wagt quick den Jux b",7.176480054855347,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux b",26.799224853515625,2,none,3
key pressed,"e",1559750139.888841,"be",0.1519479751586914,"Sylvia wagt quick den Jux be",7.328428030014038,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux be",26.951172828674316,2,none,3
key pressed,"i",1559750140.416668,"bei",0.6797749996185303,"Sylvia wagt quick den Jux bei",7.856255054473877,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux bei",27.478999853134155,2,none,3
key pressed,"SPACE",1559750140.7127411,"bei",0.9758481979370117,"Sylvia wagt quick den Jux bei ",8.152328252792358,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux bei ",27.775073051452637,2,none,3
word typed,"SPACE",1559750140.7127411,"bei",0.9758481979370117,"Sylvia wagt quick den Jux bei ",8.152328252792358,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux bei ",27.775073051452637,2,False,3
key pressed,"P",1559750141.208857,"P",0.0,"Sylvia wagt quick den Jux bei P",8.648444175720215,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux bei P",28.271188974380493,2,none,3
key pressed,"f",1559750141.456792,"Pf",0.24793505668640137,"Sylvia wagt quick den Jux bei Pf",8.896379232406616,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.Sylvia wagt quick den Jux bei Pf",28.519124031066895,2,none,3
